type,timestamp,x,y,yaw
actual,1745082129.0577767,394645.4338091562,4438784.14335127,0.0422906018661766
actual,1745082129.1558654,394645.43388938456,4438784.143226158,0.04229632654612307
actual,1745082129.2558627,394645.4339713068,4438784.14311912,0.04230938160892802
actual,1745082129.3558578,394645.4332990636,4438784.143936882,0.042256375959544845
actual,1745082129.4558625,394645.4331419406,4438784.14387055,0.0422664988692064
actual,1745082129.555857,394645.4330297299,4438784.143785672,0.042252117356170064
actual,1745082129.655902,394645.43294551736,4438784.143716478,0.042228415784928044
actual,1745082129.7558794,394645.4328988234,4438784.143533242,0.04224892340363904
actual,1745082129.855905,394645.4337115618,4438784.144329924,0.042173019034469725
actual,1745082129.9559078,394645.4336891326,4438784.144351716,0.04216715472818294
actual,1745082130.0559025,394645.43366212276,4438784.14424205,0.04220457458734573
actual,1745082130.1602814,394645.43368761917,4438784.14412763,0.042182740518403344
actual,1745082130.2639368,394645.43373896065,4438784.144095964,0.042168900057434996
actual,1745082130.3610742,394645.4324684902,4438784.143758951,0.042196458806324104
actual,1745082130.4584286,394645.4323485366,4438784.143609512,0.04217767906357244
actual,1745082130.555869,394645.43222411745,4438784.143379059,0.04224984842814249
actual,1745082130.6820989,394645.4321703752,4438784.143247228,0.04222387792887291
actual,1745082130.7611501,394645.4320796007,4438784.143026779,0.042214697497007285
actual,1745082130.85592,394645.43326445605,4438784.142399421,0.04221363284616353
actual,1745082130.956025,394645.4332826417,4438784.142164027,0.04225651558588515
actual,1745082131.0560873,394645.43337311654,4438784.141955135,0.04224253549857675
actual,1745082131.1558275,394645.4334842647,4438784.141673807,0.04227527787534409
actual,1745082131.2558784,394645.43361265445,4438784.141310008,0.04228287005759019
actual,1745082131.3558726,394645.43377150793,4438784.142865512,0.042213894645551406
actual,1745082131.4558656,394645.43377308367,4438784.142833002,0.04222893938370356
actual,1745082131.5558624,394645.43381755834,4438784.142692711,0.0422615770407158
actual,1745082131.6558886,394645.4338391328,4438784.142550145,0.042254246657857576
actual,1745082131.7559512,394645.4338370238,4438784.142433954,0.0422574406103886
actual,1745082131.8558602,394645.43386643054,4438784.142282911,0.04227955393201134
actual,1745082131.955862,394645.433290145,4438784.143062489,0.04229339439297969
actual,1745082132.0558763,394645.4332203942,4438784.143014432,0.042286064010121464
actual,1745082132.1559231,394645.43325454666,4438784.142948644,0.042279152506283404
actual,1745082132.2558722,394645.43322126725,4438784.14279957,0.04231629311276583
actual,1745082132.3558624,394645.4339272786,4438784.143704239,0.042224279354600845
actual,1745082132.4558868,394645.4340329636,4438784.143716824,0.0422308068860032
actual,1745082132.5558598,394645.43416311475,4438784.143713387,0.04224984842814249
actual,1745082132.6558905,394645.4343091958,4438784.143661569,0.04225784203611654
actual,1745082132.7558577,394645.434440108,4438784.143615785,0.04222122502840988
actual,1745082132.8558803,394645.433711089,4438784.144545651,0.04224691627499911
actual,1745082132.9558887,394645.4337315477,4438784.144638815,0.0422202825506137
actual,1745082133.0558932,394645.4337603694,4438784.144645998,0.04224918520302667
actual,1745082133.155863,394645.4338658745,4438784.144647903,0.04224558982476771
actual,1745082133.2558608,394645.4339283724,4438784.1446842225,0.04225185555678218
actual,1745082133.3558977,394645.4339393773,4438784.144575247,0.04230112620156609
actual,1745082133.4558618,394645.43482774176,4438784.1426726375,0.042254246657857576
actual,1745082133.5558617,394645.4349341305,4438784.142476835,0.04226543421836289
actual,1745082133.6559546,394645.43507592886,4438784.142245993,0.04225810383550442
actual,1745082133.7558744,394645.43515629205,4438784.141976079,0.04229805442208265
actual,1745082133.8558674,394645.43526948185,4438784.141750822,0.04226023313719193
actual,1745082133.9558687,394645.43438131147,4438784.1431778055,0.04220310851077403
actual,1745082134.0558746,394645.43444415665,4438784.143043385,0.0422674238937101
actual,1745082134.1558824,394645.43452344177,4438784.143009886,0.042245188399039776
actual,1745082134.2558649,394645.43456302286,4438784.142917515,0.04225171593044213
actual,1745082134.355865,394645.43537856557,4438784.144578471,0.04216170930091683
actual,1745082134.4558651,394645.4354940726,4438784.144547629,0.04220111883542682
actual,1745082134.5558655,394645.435614908,4438784.144525844,0.04222255147864127
actual,1745082134.6558673,394645.4356994515,4438784.144439375,0.04226342708972296
actual,1745082134.7559032,394645.4358275771,4438784.144372128,0.04224812055218292
actual,1745082134.8558786,394645.4350131611,4438784.143984658,0.04221523854907552
actual,1745082134.9558592,394645.4349633097,4438784.143889355,0.042259046313300595
actual,1745082135.055857,394645.43494544737,4438784.143840572,0.04223866086763718
actual,1745082135.155786,394645.4349225045,4438784.143678696,0.04229500009589168
actual,1745082135.2559342,394645.4349591323,4438784.143515383,0.04232681744815532
actual,1745082135.3559208,394645.43497348955,4438784.143355696,0.042329086376183135
actual,1745082135.4558034,394645.4343075644,4438784.14325037,0.04223506548937822
actual,1745082135.5558877,394645.4342818279,4438784.143066135,0.0422434605230802
actual,1745082135.6558652,394645.43425002357,4438784.142895032,0.04225545093504139
