type,timestamp,x,y,yaw
actual,1745086368.8896768,394656.90086402843,4438783.016821018,-0.065813102327005
actual,1745086368.989706,394656.90251163335,4438783.016444679,-0.0657826114249725
actual,1745086369.0897238,394656.9025348617,4438783.016411539,-0.06574119476182283
actual,1745086369.1897507,394656.90257163544,4438783.016400829,-0.06573494648310059
actual,1745086369.2896764,394656.90263549355,4438783.016387563,-0.06574611659031343
actual,1745086369.389675,394656.9026337076,4438783.01635466,-0.06574093296243495
actual,1745086369.4896705,394656.903875232,4438783.015574943,-0.06579153005745025
actual,1745086369.589711,394656.90393940324,4438783.015529647,-0.06577461781699848
actual,1745086369.689687,394656.9040228213,4438783.015481071,-0.06580058831626806
actual,1745086369.789686,394656.9040844037,4438783.015392704,-0.06576356988283347
actual,1745086369.8896928,394656.904148842,4438783.015314069,-0.06578341427642863
actual,1745086369.9897168,394656.9046711129,4438783.014271148,-0.06579219328256608
actual,1745086370.0897367,394656.9047321057,4438783.014156888,-0.06578341427642863
actual,1745086370.18974,394656.90480300144,4438783.014068417,-0.06579685331166879
actual,1745086370.2896633,394656.9048630082,4438783.013936517,-0.065787795052851
actual,1745086370.3896832,394656.9049310046,4438783.013845561,-0.06582641918919759
actual,1745086370.4896708,394656.9061323812,4438783.015131997,-0.06585038255982749
actual,1745086370.5897012,394656.9062476461,4438783.015202018,-0.06588754061960238
actual,1745086370.6896982,394656.9063368401,4438783.0152301,-0.06587514878191325
actual,1745086370.7896886,394656.9064518468,4438783.015276062,-0.06588087346185997
actual,1745086370.8896744,394656.9065378804,4438783.015303399,-0.06585291328724294
actual,1745086370.9897342,394656.9062951688,4438783.014688164,-0.06575039264698068
actual,1745086371.0896919,394656.9062881649,4438783.014647432,-0.06575077661941615
actual,1745086371.1897376,394656.906275707,4438783.014562972,-0.0657471812411572
actual,1745086371.2896993,394656.9062107353,4438783.01445767,-0.06575252194866821
actual,1745086371.3896792,394656.90604933235,4438783.014325852,-0.06572454432075868
actual,1745086371.4898002,394656.908089523,4438783.0144225685,-0.06575198089660021
actual,1745086371.5897338,394656.90846922464,4438783.014385406,-0.06580205439283975
actual,1745086371.6897016,394656.90902080043,4438783.014270656,-0.0657989826133563
actual,1745086371.7897177,394656.9097428188,4438783.014142441,-0.06581390517846088
actual,1745086371.8896697,394656.9104348139,4438783.013926487,-0.0657662227832965
actual,1745086371.9896734,394656.90780262015,4438783.016209345,-0.06578885970369475
actual,1745086372.0897396,394656.90727894596,4438783.01639232,-0.0657589098537305
actual,1745086372.1897113,394656.9064919719,4438783.0165572325,-0.06577168566385508
actual,1745086372.289674,394656.90585661156,4438783.016737661,-0.06572309569747971
actual,1745086372.3896775,394656.90549408866,4438783.016980771,-0.06577634569295805
actual,1745086372.4896803,394656.9060641508,4438783.017782072,-0.06577821319525767
actual,1745086372.589751,394656.906019788,4438783.017852353,-0.06571829604203669
actual,1745086372.6897326,394656.90606457985,4438783.01804595,-0.0657674270604803
actual,1745086372.7896705,394656.90619001223,4438783.018142601,-0.06572241501907142
actual,1745086372.8897228,394656.9065196281,4438783.018360701,-0.06578022032389737
actual,1745086372.9896955,394656.9081140031,4438783.017443315,-0.06584373285537756
actual,1745086373.0897608,394656.90848353127,4438783.017419065,-0.06589752390292389
actual,1745086373.1898026,394656.9086268201,4438783.017500675,-0.06595464852934178
actual,1745086373.2897081,394656.9084218354,4438783.017593664,-0.06600418097351334
actual,1745086373.3896706,394656.9078674206,4438783.017530303,-0.06595717925675698
actual,1745086373.4896681,394656.9093860124,4438783.0198642295,-0.06572574859794274
actual,1745086373.5896697,394656.9093512098,4438783.020136296,-0.06571735356424052
actual,1745086373.6896875,394656.9094504064,4438783.020361374,-0.06576728743414
actual,1745086373.7896788,394656.90954993316,4438783.020548471,-0.06573906546013532
actual,1745086373.8896916,394656.9095090828,4438783.020803802,-0.06575931127945843
actual,1745086373.9896996,394656.909232038,4438783.018815607,-0.06578847573125929
actual,1745086374.0896804,394656.9091496701,4438783.018713257,-0.06577369279249502
actual,1745086374.1897364,394656.9092094027,4438783.018549671,-0.06578008069755731
actual,1745086374.289671,394656.90940094425,4438783.018333399,-0.06575437199767536
actual,1745086374.3896945,394656.90962601244,4438783.018168066,-0.06575957307884632
actual,1745086374.4896753,394656.910751039,4438783.019943439,-0.06576343025649316
actual,1745086374.5896647,394656.9109741836,4438783.019880291,-0.06573601113394435
actual,1745086374.6896706,394656.91129779717,4438783.019819769,-0.06571962249226808
actual,1745086374.789713,394656.9117045901,4438783.019760494,-0.06572428252137105
actual,1745086374.889589,394656.9120498573,4438783.01975267,-0.06576676383536448
actual,1745086374.9896457,394656.9114692373,4438783.017807181,-0.06586090689521698
actual,1745086375.0897207,394656.91094331245,4438783.017723444,-0.06598260870395858
actual,1745086375.1895952,394656.9092432223,4438783.017618514,-0.06596543466411892
actual,1745086375.2897782,394656.9067324542,4438783.017379997,-0.06568726408793621
actual,1745086375.3896704,394656.90416856273,4438783.017674299,-0.06598554085710197
actual,1745086375.4897249,394656.90817529254,4438783.019069514,-0.06597861189997169
actual,1745086375.589639,394656.9097360272,4438783.01855392,-0.06567888650752646
actual,1745086375.6897535,394656.91281970637,4438783.018790471,-0.06593960379118938
actual,1745086375.789688,394656.9155512444,4438783.018771873,-0.06578313502374827
actual,1745086375.8897035,394656.9180219105,4438783.018795743,-0.06588860527044614
actual,1745086375.989672,394656.917867586,4438783.018196732,-0.06583999785077829
actual,1745086376.0896907,394656.9189754249,4438783.0182753485,-0.06580870409728992
actual,1745086376.189717,394656.9197229447,4438783.018431981,-0.06586116869460486
actual,1745086376.2897108,394656.9199415501,4438783.01858999,-0.06579791796251255
actual,1745086376.3897042,394656.91982275835,4438783.018861551,-0.0658376067497029
actual,1745086376.489725,394656.91885390994,4438783.019233281,-0.06578885970369475
actual,1745086376.5896802,394656.91845527664,4438783.019424136,-0.06580605119682689
actual,1745086376.6896687,394656.9181925359,4438783.019578748,-0.06574772229322519
actual,1745086376.789671,394656.9182601534,4438783.019773387,-0.06572882037742618
actual,1745086376.8897066,394656.9187869638,4438783.019863014,-0.06578367607581627
actual,1745086376.9897482,394656.9171323829,4438783.019809833,-0.06577076063935162
actual,1745086377.0897827,394656.9172389252,4438783.01970306,-0.06573187470361716
actual,1745086377.1897097,394656.9171596366,4438783.019757554,-0.06576262740503729
actual,1745086377.2896695,394656.9168976251,4438783.0198052125,-0.06571257136208997
actual,1745086377.3896747,394656.9164849133,4438783.019773653,-0.06570337347693211
actual,1745086377.489671,394656.91752067866,4438783.019304007,-0.06564984422877343
actual,1745086377.5896726,394656.9174084759,4438783.019326502,-0.06566995042175648
actual,1745086377.6896775,394656.9172955111,4438783.0192506695,-0.06567169575100829
actual,1745086377.7897825,394656.9172315474,4438783.019183324,-0.06563879629460817
actual,1745086377.889761,394656.91717207496,4438783.019211663,-0.0656350612900089
actual,1745086377.9897594,394656.91714768717,4438783.017441848,-0.06570909815687859
actual,1745086378.0897532,394656.9170626732,4438783.01720853,-0.06569937667294497
actual,1745086378.1897013,394656.9169825722,4438783.016984125,-0.06571429923804954
actual,1745086378.2896848,394656.91694728675,4438783.016725934,-0.06569539732225055
actual,1745086378.389668,394656.9170266026,4438783.016440409,-0.06569339019361062
actual,1745086378.4897254,394656.91845986043,4438783.018348942,-0.06571337421354609
actual,1745086378.5897498,394656.91874533246,4438783.018369025,-0.06574412691496623
actual,1745086378.6896372,394656.91881706717,4438783.018318301,-0.06574159618755077
actual,1745086378.7896883,394656.9185670947,4438783.018317434,-0.0657623656056494
actual,1745086378.8896942,394656.9180989823,4438783.018373291,-0.06576702563475237
